playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8475765,Vladimir Tarasenko,20122013,STL,8,11,19,1,3,5,1,0,75,778,0,0,10,13.410087719298245,38,0.5,0.21052631578947367,0.2894736842105263,1.9736842105263157,RW,60,29,0.3570268465527717
8476389,Vincent Trocheck,20142015,FLA,7,15,22,9,1,1,0,0,89,859,0,0,24,14.005333333333333,50,0.44,0.14,0.3,1.78,C,91,38,0.34107507532552395
8481058,Jesse Ylönen,20222023,MTL,6,10,16,-11,1,1,1,0,43,623,0,0,0,13.446846846846848,37,0.43243243243243246,0.16216216216216217,0.2702702702702703,1.162162162162162,RW,68,31,0.33718478862937934
8474034,Pat Maroon,20132014,ANA,11,18,29,11,1,4,3,0,93,971,0,0,101,12.312903225806451,62,0.46774193548387094,0.1774193548387097,0.2903225806451613,1.5,LW,116,54,0.334879076005495
8475726,Tyler Toffoli,20132014,LAK,12,17,29,21,1,4,5,0,124,1100,0,0,10,12.937903225806451,62,0.46774193548387094,0.1935483870967742,0.27419354838709675,2,C,100,46,0.334879076005495
8482705,Cole Sillinger,20212022,CBJ,16,15,31,-22,0,2,3,0,148,1475,0,0,37,13.700632911392404,79,0.3924050632911392,0.20253164556962025,0.189873417721519,1.8734177215189873,C,81,37,0.33303669793089485
8476278,Colin Blackwell,20202021,NYR,12,10,22,2,3,5,2,0,64,902,0,0,15,14.006382978723403,47,0.46808510638297873,0.2553191489361702,0.2127659574468085,1.3617021276595744,C,60,27,0.3326083748950601
8471685,Anze Kopitar,20062007,LAK,20,41,61,-12,7,29,1,0,193,1895,2,2,24,19.203935185185188,72,0.8472222222222222,0.2777777777777778,0.5694444444444444,2.6805555555555554,C,68,27,0.31646282346265686
8473449,Kyle Okposo,20082009,NYI,18,21,39,-6,9,13,3,1,165,1388,0,1,36,17.271538461538462,65,0.6,0.27692307692307694,0.3230769230769231,2.5384615384615383,RW,61,26,0.31203597551559814
8480829,Jesperi Kotkaniemi,20182019,MTL,11,23,34,1,1,5,2,0,134,1452,0,0,26,13.741561181434598,79,0.43037974683544306,0.13924050632911392,0.2911392405063291,1.6962025316455696,C,96,44,0.3079958843516914
